student_id;student_name;grade;mathematics_mark;physical_science_mark;life_sciences_mark;english_home_language_mark;life_orientation_mark;information_technology_mark;agricultural_science_mark;total_mark;average_mark
STU0001;Amahle Khumalo;10A;34;25;53;60;64;29;49;314;44.9
STU0002;Zanele Nkosi;10B;32;34;48;61;81;38;49;343;49.0
STU0003;Sello Mthembu;10A;36;27;37;60;69;78;64;371;53.0
STU0004;Vusi Tshabalala;12A;47;38;53;48;67;56;49;358;51.1
STU0005;Andile Zwane;11A;7;25;59;58;64;57;53;323;46.1
STU0006;Nokuthula Sibiya;12B;44;43;40;42;79;42;30;320;45.7
STU0007;Kagiso Zwane;12B;50;64;56;67;82;48;31;398;56.9
STU0008;Solly Ndlovu;10B;24;52;22;51;68;69;42;328;46.9
STU0009;Lesego Mokwena;10B;24;23;63;47;64;63;41;325;46.4
STU0010;Sello Motaung;12A;29;28;55;72;65;54;55;358;51.1
STU0011;Precious Sithole;12B;51;61;35;47;54;39;52;339;48.4
STU0012;Thabo Khumalo;12B;60;60;30;56;54;47;60;367;52.4
STU0013;Thabo Mthembu;12A;37;17;66;67;73;33;57;350;50.0
STU0014;Ayanda Molefe;12A;53;59;37;48;65;18;85;365;52.1
STU0015;Buhle Zulu;10A;36;61;71;66;78;7;44;363;51.9
STU0016;Tshepo Mabaso;12A;33;49;65;27;46;76;41;337;48.1
STU0017;Bandile Nkosi;12B;10;92;38;43;59;49;54;345;49.3
STU0018;Sello Molefe;10B;53;36;47;54;61;54;54;359;51.3
STU0019;Refilwe Dlamini;12A;37;65;50;62;79;41;26;360;51.4
STU0020;Sizwe Nkosi;10A;41;54;58;41;71;47;30;342;48.9
STU0021;Ofentse Khumalo;10A;20;47;56;47;70;67;41;348;49.7
STU0022;Palesa Dlamini;11B;43;51;19;72;75;47;51;358;51.1
STU0023;Zanele Zulu;10B;16;49;71;32;65;51;26;310;44.3
STU0024;Nthabiseng Radebe;11B;64;28;24;59;48;39;53;315;45.0
STU0025;Lindiwe Ndlovu;12A;34;32;46;59;38;56;47;312;44.6
STU0026;Lwazi Dlamini;10B;34;44;51;64;56;71;45;365;52.1
STU0027;Sello Zwane;10A;20;25;31;46;72;45;50;289;41.3
STU0028;Nomsa Sithole;12B;21;26;34;85;53;74;53;346;49.4
STU0029;Reneilwe Khumalo;10A;12;33;58;65;73;55;48;344;49.1
STU0030;Sifiso Radebe;12A;56;70;45;35;62;13;40;321;45.9
STU0031;Bongani Sithole;11A;42;44;36;51;50;33;58;314;44.9
STU0032;Themba Cele;11B;62;38;83;74;70;52;48;427;61.0
STU0033;Refilwe Sithole;12B;47;37;25;63;60;47;74;353;50.4
STU0034;Karabo Molefe;10A;25;50;30;59;70;37;82;353;50.4
STU0035;Sipho Tshabalala;10B;23;14;36;69;88;17;52;299;42.7
STU0036;Palesa Mahlangu;10B;0;41;46;54;54;78;41;314;44.9
STU0037;Given Zulu;11A;52;62;45;58;57;52;64;390;55.7
STU0038;Sibusiso Zulu;10A;26;28;34;54;69;52;38;301;43.0
STU0039;Lwazi Mnguni;12B;60;35;55;52;72;48;63;385;55.0
STU0040;Bongani Zwane;11B;31;20;71;18;78;77;73;368;52.6
STU0041;Mpho Mthembu;10A;35;37;66;47;61;23;45;314;44.9
STU0042;Kagiso Mokwena;12A;18;24;77;53;55;44;66;337;48.1
STU0043;Nomsa Radebe;12A;50;51;70;47;79;37;46;380;54.3
STU0044;Thabo Radebe;11A;59;46;75;45;58;26;60;369;52.7
STU0045;Lwazi Mabaso;12B;39;45;25;53;54;77;52;345;49.3
STU0046;Sibusiso Nkosi;10B;5;51;50;28;69;66;59;328;46.9
STU0047;Amahle Mabena;10B;31;21;41;60;55;17;72;297;42.4
STU0048;Solly Motaung;10B;3;58;84;51;65;50;81;392;56.0
STU0049;Nthabiseng Sithole;11B;6;0;16;36;78;35;49;220;31.4
STU0050;Ntando Sibiya;10B;12;37;30;54;74;31;33;271;38.7
STU0051;Mbali Mabaso;12B;36;57;45;45;52;81;60;376;53.7
STU0052;Musa Sithole;12B;41;42;64;47;77;80;63;414;59.1
STU0053;Musa Mabena;12B;76;43;32;48;74;45;28;346;49.4
STU0054;Sizwe Molefe;12B;62;35;19;68;57;47;69;357;51.0
STU0055;Musa Mokwena;12B;26;21;57;69;77;67;67;384;54.9
STU0056;Reneilwe Mokoena;10A;38;32;41;51;66;41;59;328;46.9
STU0057;Kgomotso Mokwena;11B;26;82;21;68;45;55;87;384;54.9
STU0058;Sibusiso Dlamini;12B;51;42;49;55;88;41;44;370;52.9
STU0059;Katlego Khumalo;12A;56;32;47;68;41;23;47;314;44.9
STU0060;Ayanda Radebe;10A;1;2;31;28;53;21;77;213;30.4
STU0061;Mpho Dlamini;12A;25;14;70;69;75;31;83;367;52.4
STU0062;Sifiso Motaung;12B;75;23;62;40;85;54;46;385;55.0
STU0063;Thandeka Sibiya;12B;42;47;25;52;45;25;55;291;41.6
STU0064;Fikile Mabena;11A;13;32;59;65;61;23;60;313;44.7
STU0065;Reneilwe Zwane;12B;32;41;54;48;70;80;35;360;51.4
STU0066;Bandile Mthembu;12A;70;82;50;74;75;21;54;426;60.9
STU0067;Bandile Mabaso;12B;30;19;61;56;58;57;45;326;46.6
STU0068;Ntando Cele;11A;19;11;60;44;81;48;63;326;46.6
STU0069;Precious Nkosi;11A;53;53;49;46;68;69;45;383;54.7
STU0070;Mbali Zwane;11A;0;72;44;51;76;41;74;358;51.1
STU0071;Tumi Mthembu;10A;60;34;45;48;74;35;66;362;51.7
STU0072;Katlego Mabaso;11B;16;13;83;55;89;55;56;367;52.4
STU0073;Zola Dlamini;12A;30;34;60;70;52;100;71;417;59.6
STU0074;Nokwanda Zwane;12A;58;41;67;41;69;83;17;376;53.7
STU0075;Buhle Mabena;12A;82;55;70;69;58;41;62;437;62.4
STU0076;Ntando Dlamini;10B;42;58;48;45;59;53;75;380;54.3
STU0077;Bandile Sibiya;10A;18;0;53;36;50;16;35;208;29.7
STU0078;Ofentse Sithole;11A;46;41;43;61;74;50;33;348;49.7
STU0079;Andile Sibiya;10A;18;41;38;61;53;45;26;282;40.3
STU0080;Given Mokwena;12A;11;38;55;81;60;13;35;293;41.9
STU0081;Winnie Mthembu;12A;68;46;25;59;72;45;34;349;49.9
STU0082;Katlego Tshabalala;11B;20;25;69;63;57;45;40;319;45.6
STU0083;Nomsa Molefe;10A;18;42;29;88;53;62;74;366;52.3
STU0084;Sifiso Sibiya;11B;33;59;54;43;55;45;54;343;49.0
STU0085;Nokuthula Molefe;10B;54;30;45;48;81;46;53;357;51.0
STU0086;Ntando Mokoena;12A;47;27;54;59;60;73;45;365;52.1
STU0087;Karabo Mabaso;12B;27;65;32;63;52;53;58;350;50.0
STU0088;Nokwanda Cele;12B;45;64;26;51;86;16;70;358;51.1
STU0089;Lwazi Mthembu;10A;32;53;0;28;58;51;39;261;37.3
STU0090;Ntando Molefe;11B;31;23;52;63;82;39;47;337;48.1
STU0091;Sipho Mokwena;12B;0;45;13;83;70;26;74;311;44.4
STU0092;Tumi Cele;12A;77;34;54;59;60;53;51;388;55.4
STU0093;Karabo Motaung;12B;43;37;50;44;56;38;64;332;47.4
STU0094;Zinhle Molefe;11B;44;62;42;67;56;27;47;345;49.3
STU0095;Palesa Radebe;10B;35;19;66;67;74;37;41;339;48.4
STU0096;Naledi Radebe;11A;0;31;54;37;62;53;43;280;40.0
STU0097;Zanele Zwane;11B;24;29;56;51;56;53;52;321;45.9
STU0098;Ayanda Dlamini;11B;38;88;32;44;94;43;37;376;53.7
STU0099;Buhle Nkosi;11B;41;31;37;64;60;75;80;388;55.4
STU0100;Nomsa Mthembu;10A;40;13;38;55;61;34;41;282;40.3
